2024-09-13T06:59:06.115+05:30  INFO 4660 --- [SpringBlogProject] [restartedMain] o.s.s.p.JdbcUserDetailsManager           : No authentication manager set. Reauthentication of users when changing passwords will not be performed.
2024-09-13T06:59:06.288+05:30  INFO 4660 --- [SpringBlogProject] [restartedMain] r$InitializeUserDetailsManagerConfigurer : Global AuthenticationManager configured with UserDetailsService bean with name userDetailsManager
2024-09-13T06:59:06.859+05:30 DEBUG 4660 --- [SpringBlogProject] [restartedMain] o.s.s.web.DefaultSecurityFilterChain     : Will secure any request with filters: DisableEncodeUrlFilter, WebAsyncManagerIntegrationFilter, SecurityContextHolderFilter, HeaderWriterFilter, CsrfFilter, LogoutFilter, UsernamePasswordAuthenticationFilter, RequestCacheAwareFilter, SecurityContextHolderAwareRequestFilter, AnonymousAuthenticationFilter, ExceptionTranslationFilter, AuthorizationFilter
2024-09-13T06:59:14.915+05:30 DEBUG 4660 --- [SpringBlogProject] [http-nio-8080-exec-1] o.s.security.web.FilterChainProxy        : Securing GET /posts
2024-09-13T06:59:14.924+05:30 DEBUG 4660 --- [SpringBlogProject] [http-nio-8080-exec-1] o.s.security.web.FilterChainProxy        : Secured GET /posts
2024-09-13T06:59:14.949+05:30 DEBUG 4660 --- [SpringBlogProject] [http-nio-8080-exec-1] o.s.s.w.a.AnonymousAuthenticationFilter  : Set SecurityContextHolder to anonymous SecurityContext
2024-09-13T06:59:16.246+05:30 DEBUG 4660 --- [SpringBlogProject] [http-nio-8080-exec-2] o.s.security.web.FilterChainProxy        : Securing GET /favicon.ico
2024-09-13T06:59:16.247+05:30 DEBUG 4660 --- [SpringBlogProject] [http-nio-8080-exec-2] o.s.security.web.FilterChainProxy        : Secured GET /favicon.ico
2024-09-13T06:59:16.255+05:30 DEBUG 4660 --- [SpringBlogProject] [http-nio-8080-exec-2] o.s.s.w.a.AnonymousAuthenticationFilter  : Set SecurityContextHolder to anonymous SecurityContext
2024-09-13T06:59:16.284+05:30 DEBUG 4660 --- [SpringBlogProject] [http-nio-8080-exec-2] o.s.security.web.FilterChainProxy        : Securing GET /error
2024-09-13T06:59:16.285+05:30 DEBUG 4660 --- [SpringBlogProject] [http-nio-8080-exec-2] o.s.security.web.FilterChainProxy        : Secured GET /error
2024-09-13T06:59:16.361+05:30 DEBUG 4660 --- [SpringBlogProject] [http-nio-8080-exec-2] o.s.s.w.a.AnonymousAuthenticationFilter  : Set SecurityContextHolder to anonymous SecurityContext
2024-09-13T06:59:23.847+05:30 DEBUG 4660 --- [SpringBlogProject] [http-nio-8080-exec-3] o.s.security.web.FilterChainProxy        : Securing GET /posts/view/41
2024-09-13T06:59:23.848+05:30 DEBUG 4660 --- [SpringBlogProject] [http-nio-8080-exec-3] o.s.security.web.FilterChainProxy        : Secured GET /posts/view/41
2024-09-13T06:59:23.919+05:30 DEBUG 4660 --- [SpringBlogProject] [http-nio-8080-exec-3] o.s.s.w.a.AnonymousAuthenticationFilter  : Set SecurityContextHolder to anonymous SecurityContext
2024-09-13T06:59:33.702+05:30 DEBUG 4660 --- [SpringBlogProject] [http-nio-8080-exec-4] o.s.security.web.FilterChainProxy        : Securing GET /posts
2024-09-13T06:59:33.703+05:30 DEBUG 4660 --- [SpringBlogProject] [http-nio-8080-exec-4] o.s.security.web.FilterChainProxy        : Secured GET /posts
